le_id,sub_prof_id,client_id,deal_id,step_id,product,product_type,deal_category,deal_date,value_date,amount,currency,mth_end,src,cty
LE001,SP001,C100099,203897019487,CCBC,GUARANTEES,EXPORT,BID,2023-07-22,2023-08-20,24805.18,HKD,2024-12-31,DTP,SG
LE001,SP001,C100669,838967038374,BR,COLLECTIONS,IMPORT,OB,2023-12-16,2024-02-05,154946.88,SGD,2024-12-31,DTP,SG
LE001,SP001,C100194,311521368324,UTIL,GUARANTEES,IMPORT,BID,2024-10-30,2024-11-16,48013.31,JPY,2024-12-31,DTP,SG
LE001,SP001,C100453,185569774204,UTIL,COLLECTIONS,IMPORT,LIBW,2025-10-10,2025-10-15,69561.57,USD,2024-12-31,DTP,SG
LE001,SP001,C100497,547390899554,ACTR,EXPORT BILLS,EXPORT,BCLC,2024-12-07,2024-12-31,47951.82,SGD,2024-12-31,DTP,SG
LE001,SP001,C100271,529433631560,BID,EXPORT LOANS,EXPORT,LIBW,2023-02-17,2023-02-26,911396.96,USD,2024-12-31,DTP,SG
LE001,SP001,C100991,337497551698,ACP001,IMPORT LOANS,IMPORT,IML,2025-07-15,2025-07-18,97129.78,AUD,2024-12-31,DTP,SG
LE001,SP001,C100941,651803604970,GOOD,EXPORT BILLS,IMPORT,UTIL,2025-05-29,2025-07-22,27743.22,USD,2024-12-31,DTP,SG
LE001,SP001,C100069,753129325865,CCBC,EXPORT BILLS,EXPORT,CBC,2024-06-23,2024-07-30,264885.75,AUD,2024-12-31,DTP,SG
LE001,SP001,C100083,778775521918,OB,LETTER OF CREDIT,EXPORT,EBC,2024-09-17,2024-10-29,22810.76,HKD,2024-12-31,DTP,SG
LE001,SP001,C100271,363342414490,POLC,EXPORT BILLS,EXPORT,ACTR,2024-02-01,2024-03-31,126834.24,SGD,2024-12-31,DTP,SG
LE001,SP001,C100636,602551183219,LIBW,COLLECTIONS,IMPORT,LIBW,2024-08-30,2024-10-01,9399.35,EUR,2024-12-31,DTP,SG
LE001,SP001,C100291,504776119396,MSC005-0,GUARANTEES,EXPORT,BR,2022-11-22,2022-11-22,20053.86,HKD,2024-12-31,DTP,SG
LE001,SP001,C100306,709099824282,CCBC,COLLECTIONS,IMPORT,EBC,2025-03-18,2025-05-13,125020.56,SGD,2024-12-31,DTP,SG
LE001,SP001,C100159,708779044123,AMD002,EXPORT LOANS,IMPORT,IML,2024-09-19,2024-11-01,239464.37,HKD,2024-12-31,DTP,SG
LE001,SP001,C100517,391426041482,ACTR,EXPORT LOANS,IMPORT,ACLC,2023-06-26,2023-08-18,121253.9,EUR,2024-12-31,DTP,SG
LE001,SP001,C100341,100189351213,EBC,EXPORT BILLS,EXPORT,CBN,2023-05-20,2023-06-24,85924.31,HKD,2024-12-31,DTP,SG
LE001,SP001,C100009,716017224649,PAY001,COLLECTIONS,IMPORT,LIBW,2025-08-28,2025-10-20,68780.5,EUR,2024-12-31,DTP,SG
LE001,SP001,C100151,708092248272,OB,EXPORT BILLS,IMPORT,CCBC,2023-10-25,2023-12-21,16743.64,SGD,2024-12-31,DTP,SG
LE001,SP001,C100215,494702875840,CCBC,EXPORT BILLS,IMPORT,POLC,2023-07-31,2023-09-08,41613.79,HKD,2024-12-31,DTP,SG
LE001,SP001,C100885,361691846325,MSC005-0,EXPORT BILLS,EXPORT,PERF,2024-11-07,2024-12-24,56796.7,EUR,2024-12-31,DTP,SG
LE001,SP001,C100685,982236590250,LATR,EXPORT BILLS,EXPORT,CBN,2025-04-02,2025-04-26,351001.81,SGD,2024-12-31,DTP,SG
LE001,SP001,C100227,619083705463,MSC003-0,GUARANTEES,EXPORT,CCBC,2024-07-31,2024-08-14,149095.44,SGD,2024-12-31,DTP,SG
LE001,SP001,C100408,313288218458,PAY021,EXPORT LOANS,IMPORT,EBC,2023-11-21,2024-01-01,11900.69,AUD,2024-12-31,DTP,SG
LE001,SP001,C100863,844745947806,UTIL,EXPORT LOANS,IMPORT,CBC,2024-05-24,2024-06-04,145641.12,AUD,2024-12-31,DTP,SG
LE001,SP001,C100111,139794875013,SHIP,GUARANTEES,EXPORT,IML,2023-05-31,2023-07-08,62187,AUD,2024-12-31,DTP,SG
LE001,SP001,C100921,521403489881,LIBW,EXPORT BILLS,EXPORT,BCLC,2023-05-31,2023-05-31,43813.34,AUD,2024-12-31,DTP,SG
LE001,SP001,C100551,988738578038,CCBC,LETTER OF CREDIT,IMPORT,POLC,2023-06-10,2023-06-14,205666.57,HKD,2024-12-31,DTP,SG
LE001,SP001,C100638,464731933573,PAY021,LETTER OF CREDIT,IMPORT,CCBC,2023-01-06,2023-01-25,340169.54,HKD,2024-12-31,DTP,SG
LE001,SP001,C100412,458236319765,IML,EXPORT LOANS,IMPORT,LATR,2023-07-02,2023-08-13,301804.92,JPY,2024-12-31,DTP,SG
LE001,SP001,C100924,923247811948,MSC005-0,IMPORT LOANS,EXPORT,OB,2025-11-09,2025-11-28,36059.98,EUR,2024-12-31,DTP,SG
LE001,SP001,C100804,573349130305,LIBW,IMPORT LOANS,EXPORT,ACTR,2023-05-20,2023-06-17,68114.48,HKD,2024-12-31,DTP,SG
LE001,SP001,C100484,659263589018,LATR,EXPORT BILLS,IMPORT,CCBC,2022-12-20,2023-01-31,146901.29,HKD,2024-12-31,DTP,SG
LE001,SP001,C100095,467731925068,EBC,EXPORT BILLS,EXPORT,L/C,2024-09-28,2024-10-07,318269.62,SGD,2024-12-31,DTP,SG
LE001,SP001,C100486,366486458768,SHIP,COLLECTIONS,EXPORT,BID,2024-10-07,2024-11-21,55547.34,HKD,2024-12-31,DTP,SG
LE001,SP001,C100409,642815054262,AMD005,EXPORT BILLS,IMPORT,CBC,2023-06-23,2023-07-07,79000.48,USD,2024-12-31,DTP,SG
LE001,SP001,C100475,669924601388,ACP001,IMPORT LOANS,IMPORT,CBC,2023-04-20,2023-04-28,26170.76,JPY,2024-12-31,DTP,SG
LE001,SP001,C100572,682687809473,SHIP,EXPORT LOANS,EXPORT,BR,2023-01-11,2023-02-07,23495.21,AUD,2024-12-31,DTP,SG
LE001,SP001,C100882,916727364232,ACTR,GUARANTEES,EXPORT,L/C,2024-04-21,2024-06-09,261720.13,AUD,2024-12-31,DTP,SG
LE001,SP001,C100244,789276095704,AMD002,GUARANTEES,IMPORT,CCBC,2024-07-17,2024-08-03,502568.91,EUR,2024-12-31,DTP,SG
LE001,SP001,C100141,188219282055,MSC001-0,EXPORT BILLS,EXPORT,IBC,2024-08-28,2024-09-01,90543.7,JPY,2024-12-31,DTP,SG
LE001,SP001,C100555,462527878842,BID,GUARANTEES,IMPORT,LATR,2023-07-03,2023-07-27,329140.33,AUD,2024-12-31,DTP,SG
LE001,SP001,C100020,868567484183,EBC,IMPORT LOANS,EXPORT,GOOD,2025-10-28,2025-12-27,152354.18,EUR,2024-12-31,DTP,SG
LE001,SP001,C100399,925916252414,OB,IMPORT LOANS,IMPORT,GOOD,2024-08-17,2024-09-03,45517.69,JPY,2024-12-31,DTP,SG
LE001,SP001,C100398,132150587583,PAY021,LETTER OF CREDIT,EXPORT,CBN,2023-03-28,2023-05-25,152310.23,USD,2024-12-31,DTP,SG
LE001,SP001,C100546,787111968895,ISS000,GUARANTEES,IMPORT,ACLC,2023-06-16,2023-06-24,625085.6,JPY,2024-12-31,DTP,SG
LE001,SP001,C100266,152320127777,POLC,EXPORT LOANS,IMPORT,ACTR,2024-01-10,2024-01-31,94561.79,JPY,2024-12-31,DTP,SG
LE001,SP001,C100974,925828823896,OB,EXPORT LOANS,IMPORT,GOOD,2025-10-01,2025-11-17,645365.68,AUD,2024-12-31,DTP,SG
LE001,SP001,C100229,486340553307,BR,COLLECTIONS,IMPORT,PERF,2024-06-21,2024-07-03,4256.94,SGD,2024-12-31,DTP,SG
LE001,SP001,C100244,270172340877,MSC001-0,GUARANTEES,IMPORT,SHIP,2024-08-20,2024-09-18,264681.63,HKD,2024-12-31,DTP,SG
LE001,SP001,C100377,942914148319,MSC005-0,IMPORT LOANS,IMPORT,CBN,2024-02-11,2024-02-17,109585.08,AUD,2024-12-31,DTP,SG
LE001,SP001,C100693,732700038683,POLC,GUARANTEES,IMPORT,ACLC,2024-06-30,2024-07-06,68953.74,HKD,2024-12-31,DTP,SG
LE001,SP001,C100870,434030261940,CCBC,IMPORT LOANS,IMPORT,SHIP,2025-08-17,2025-09-08,110206.7,AUD,2024-12-31,DTP,SG
LE001,SP001,C100379,827689342568,AAC001,IMPORT LOANS,EXPORT,PERF,2023-07-03,2023-08-24,9089.88,JPY,2024-12-31,DTP,SG
LE001,SP001,C100983,572899688547,ACP003,LETTER OF CREDIT,EXPORT,IBC,2023-06-02,2023-06-13,75840.96,HKD,2024-12-31,DTP,SG
LE001,SP001,C100630,399146436761,UTIL,GUARANTEES,EXPORT,BID,2024-05-09,2024-05-29,151529.42,USD,2024-12-31,DTP,SG
LE001,SP001,C100902,405314892324,BID,EXPORT BILLS,EXPORT,SHIP,2023-09-25,2023-10-16,581561.99,SGD,2024-12-31,DTP,SG
LE001,SP001,C100499,298964420838,MSC003-0,EXPORT LOANS,EXPORT,IML,2024-04-16,2024-06-11,53001.51,AUD,2024-12-31,DTP,SG
LE001,SP001,C100010,711071920529,GOOD,EXPORT BILLS,IMPORT,L/C,2023-07-31,2023-08-31,37414.28,AUD,2024-12-31,DTP,SG
LE001,SP001,C100707,365249297449,ACTR,LETTER OF CREDIT,EXPORT,ACTR,2025-10-05,2025-10-10,54062.26,EUR,2024-12-31,DTP,SG
LE001,SP001,C100708,543333380796,AMD005,EXPORT LOANS,EXPORT,GOOD,2022-11-18,2022-12-10,296108.89,JPY,2024-12-31,DTP,SG
LE001,SP001,C100563,920324285791,PAY021,EXPORT LOANS,EXPORT,EBC,2024-02-21,2024-03-08,146459.08,USD,2024-12-31,DTP,SG
LE001,SP001,C100197,890792195524,PAY021,COLLECTIONS,IMPORT,LATR,2024-08-23,2024-10-09,52275.74,JPY,2024-12-31,DTP,SG
LE001,SP001,C100603,895756506622,EBC,IMPORT LOANS,EXPORT,CBC,2024-10-08,2024-10-26,182758.51,USD,2024-12-31,DTP,SG
LE001,SP001,C100309,294823500706,ISS000,LETTER OF CREDIT,IMPORT,EBC,2025-08-08,2025-08-11,110912.08,AUD,2024-12-31,DTP,SG
LE001,SP001,C100966,865758896013,MSC001-0,LETTER OF CREDIT,EXPORT,CBC,2025-10-15,2025-11-20,315645.17,EUR,2024-12-31,DTP,SG
LE001,SP001,C100451,626002054624,PAY021,EXPORT BILLS,IMPORT,EBC,2023-03-07,2023-03-14,42511.77,SGD,2024-12-31,DTP,SG
LE001,SP001,C100075,638591937347,LIBW,LETTER OF CREDIT,IMPORT,IBC,2025-01-08,2025-02-28,66623.02,AUD,2024-12-31,DTP,SG
LE001,SP001,C100087,434788945402,AMD005,COLLECTIONS,EXPORT,BR,2024-08-04,2024-09-22,61664.9,AUD,2024-12-31,DTP,SG
LE001,SP001,C100930,595554950233,BID,EXPORT LOANS,EXPORT,CCBC,2025-07-09,2025-08-17,17047.9,HKD,2024-12-31,DTP,SG
LE001,SP001,C100640,330909197611,MSC003-0,EXPORT LOANS,IMPORT,CBN,2024-07-06,2024-07-17,140835.01,AUD,2024-12-31,DTP,SG
LE001,SP001,C100002,272121093022,OB,GUARANTEES,EXPORT,CCBC,2025-09-04,2025-09-18,135031.9,EUR,2024-12-31,DTP,SG
LE001,SP001,C100719,412273997497,BID,COLLECTIONS,IMPORT,EBC,2024-09-30,2024-10-27,99323.37,SGD,2024-12-31,DTP,SG
LE001,SP001,C100663,347152013493,MSC001-0,EXPORT LOANS,IMPORT,ACLC,2025-07-10,2025-07-20,74495.61,EUR,2024-12-31,DTP,SG
LE001,SP001,C100844,922894448206,LIBW,EXPORT LOANS,EXPORT,CBC,2023-03-26,2023-05-09,18061.81,EUR,2024-12-31,DTP,SG
LE001,SP001,C100965,545386964769,AMD002,IMPORT LOANS,EXPORT,ACTR,2025-05-29,2025-07-06,59588.96,SGD,2024-12-31,DTP,SG
LE001,SP001,C100752,576266444796,PAY021,IMPORT LOANS,EXPORT,PERF,2025-05-06,2025-05-20,65430.42,HKD,2024-12-31,DTP,SG
LE001,SP001,C100973,746715555757,ISS000,LETTER OF CREDIT,EXPORT,SHIP,2025-08-19,2025-10-06,37694.42,USD,2024-12-31,DTP,SG
LE001,SP001,C100667,668956468715,BID,EXPORT LOANS,IMPORT,SHIP,2023-06-01,2023-07-11,81345.2,JPY,2024-12-31,DTP,SG
LE001,SP001,C100481,202946308354,ACP003,GUARANTEES,EXPORT,IML,2025-04-09,2025-06-02,160309.41,USD,2024-12-31,DTP,SG
LE001,SP001,C100710,552388062042,ACTR,EXPORT LOANS,EXPORT,LIBW,2025-08-26,2025-09-24,949245.83,SGD,2024-12-31,DTP,SG
LE001,SP001,C100331,376228747842,PAY001,GUARANTEES,IMPORT,LIBW,2023-04-08,2023-05-04,121721.8,SGD,2024-12-31,DTP,SG
LE001,SP001,C100370,667741343954,SHIP,GUARANTEES,EXPORT,BCLC,2024-09-19,2024-10-06,134465.17,AUD,2024-12-31,DTP,SG
LE001,SP001,C100901,582273412927,IML,GUARANTEES,IMPORT,PERF,2024-07-07,2024-08-21,90279.43,USD,2024-12-31,DTP,SG
LE001,SP001,C100014,706925050424,UTIL,GUARANTEES,IMPORT,L/C,2025-03-22,2025-04-20,9872.17,SGD,2024-12-31,DTP,SG
LE001,SP001,C100955,646122147534,IML,EXPORT LOANS,EXPORT,BID,2023-02-25,2023-03-27,95624.41,USD,2024-12-31,DTP,SG
LE001,SP001,C100148,707552271685,POLC,EXPORT BILLS,IMPORT,ACLC,2024-04-23,2024-06-11,106114.74,JPY,2024-12-31,DTP,SG
LE001,SP001,C100273,657434001695,ISS000,EXPORT LOANS,EXPORT,SHIP,2023-02-11,2023-04-07,1897201.64,USD,2024-12-31,DTP,SG
LE001,SP001,C100495,690328426008,ACP003,EXPORT LOANS,EXPORT,ACTR,2024-01-20,2024-03-15,78367.68,USD,2024-12-31,DTP,SG
LE001,SP001,C100244,868716573635,LIBW,GUARANTEES,IMPORT,BID,2025-08-12,2025-09-01,141755.19,HKD,2024-12-31,DTP,SG
LE001,SP001,C100935,875125530792,POLC,GUARANTEES,IMPORT,GOOD,2025-08-26,2025-09-03,94688.31,AUD,2024-12-31,DTP,SG
LE001,SP001,C100339,752686223803,PAY001,GUARANTEES,IMPORT,UTIL,2023-04-19,2023-04-19,24284.32,HKD,2024-12-31,DTP,SG
LE001,SP001,C100891,547295741582,BR,EXPORT BILLS,IMPORT,GOOD,2024-05-16,2024-06-06,389020.52,AUD,2024-12-31,DTP,SG
LE001,SP001,C100665,536766840508,AAC001,EXPORT LOANS,EXPORT,IML,2023-02-14,2023-04-10,243365.48,AUD,2024-12-31,DTP,SG
LE001,SP001,C100070,778759018230,AMD005,LETTER OF CREDIT,EXPORT,L/C,2025-05-08,2025-06-04,255055.98,SGD,2024-12-31,DTP,SG
LE001,SP001,C100720,799050464905,PAY001,GUARANTEES,IMPORT,CCBC,2025-09-11,2025-09-13,33147.91,EUR,2024-12-31,DTP,SG
LE001,SP001,C100300,163548952306,ACP003,EXPORT LOANS,EXPORT,IBC,2024-06-27,2024-07-30,531444.03,JPY,2024-12-31,DTP,SG
LE001,SP001,C100811,849754952027,MSC005-0,EXPORT BILLS,IMPORT,ACLC,2023-09-18,2023-10-27,18357.23,HKD,2024-12-31,DTP,SG
LE001,SP001,C100934,646495202679,LIBW,EXPORT BILLS,IMPORT,ACTR,2024-06-07,2024-07-06,199631.51,EUR,2024-12-31,DTP,SG
LE001,SP001,C100920,111453993673,BID,EXPORT LOANS,IMPORT,ACLC,2023-05-20,2023-07-19,1367571.03,EUR,2024-12-31,DTP,SG
LE001,SP001,C100306,748487026122,BR,GUARANTEES,EXPORT,ACTR,2024-03-01,2024-03-13,30072.2,JPY,2024-12-31,DTP,SG
LE001,SP001,C100109,631946025298,AMD005,GUARANTEES,EXPORT,SHIP,2024-03-14,2024-04-27,50033.23,EUR,2024-12-31,DTP,SG
LE001,SP001,C100405,825119489915,AMD002,COLLECTIONS,IMPORT,BR,2023-01-27,2023-03-21,111255.17,EUR,2024-12-31,DTP,SG
LE001,SP001,C100235,979505110502,SHIP,EXPORT LOANS,IMPORT,LATR,2024-06-14,2024-07-27,53950.88,HKD,2024-12-31,DTP,SG
LE001,SP001,C100697,824850767601,MSC001-0,LETTER OF CREDIT,IMPORT,BCLC,2024-02-16,2024-04-06,15355.11,JPY,2024-12-31,DTP,SG
LE001,SP001,C100373,735798459372,LATR,EXPORT BILLS,IMPORT,CCBC,2024-01-10,2024-02-26,107181.14,JPY,2024-12-31,DTP,SG
LE001,SP001,C100135,319797700469,UTIL,EXPORT LOANS,EXPORT,CBN,2024-06-01,2024-07-29,27590.74,JPY,2024-12-31,DTP,SG
LE001,SP001,C100302,988918145940,LATR,EXPORT LOANS,IMPORT,ACTR,2025-06-08,2025-06-17,174261.25,USD,2024-12-31,DTP,SG
LE001,SP001,C100741,846723617943,CCBC,GUARANTEES,EXPORT,ACLC,2023-08-24,2023-08-24,32751.07,EUR,2024-12-31,DTP,SG
LE001,SP001,C100465,235448546713,ACP003,LETTER OF CREDIT,EXPORT,SHIP,2023-09-21,2023-11-12,634074.22,HKD,2024-12-31,DTP,SG
LE001,SP001,C100110,512060416063,CCBC,EXPORT BILLS,EXPORT,PERF,2024-01-08,2024-03-06,38564.83,AUD,2024-12-31,DTP,SG
LE001,SP001,C100064,809620368716,BR,GUARANTEES,EXPORT,BID,2025-03-16,2025-03-24,67072.28,SGD,2024-12-31,DTP,SG
LE001,SP001,C100311,142718868029,ACTR,COLLECTIONS,IMPORT,L/C,2025-02-05,2025-03-01,262031.67,JPY,2024-12-31,DTP,SG
LE001,SP001,C100972,836032889947,LATR,LETTER OF CREDIT,EXPORT,SHIP,2024-12-28,2025-02-22,22538.11,JPY,2024-12-31,DTP,SG
LE001,SP001,C100853,210187050550,ACTR,IMPORT LOANS,EXPORT,EBC,2025-09-03,2025-10-17,129696.44,EUR,2024-12-31,DTP,SG
LE001,SP001,C100455,586264470638,AMD005,EXPORT LOANS,IMPORT,POLC,2023-11-06,2023-11-09,473814.56,JPY,2024-12-31,DTP,SG
LE001,SP001,C100991,307343331995,PAY001,GUARANTEES,IMPORT,LATR,2025-09-27,2025-09-30,14343.04,EUR,2024-12-31,DTP,SG
LE001,SP001,C100578,963829265445,MSC003-0,COLLECTIONS,IMPORT,SHIP,2024-08-24,2024-10-15,123199.54,USD,2024-12-31,DTP,SG
LE001,SP001,C100151,951814677126,SHIP,COLLECTIONS,EXPORT,IBC,2025-02-16,2025-03-22,134842.05,EUR,2024-12-31,DTP,SG
LE001,SP001,C100112,292408151781,CCBC,COLLECTIONS,IMPORT,PERF,2023-11-07,2023-12-27,252252.9,USD,2024-12-31,DTP,SG
LE001,SP001,C100016,454716422315,MSC005-0,EXPORT LOANS,IMPORT,IBC,2023-07-01,2023-08-03,22374.1,SGD,2024-12-31,DTP,SG
LE001,SP001,C100487,171922084729,BID,EXPORT LOANS,IMPORT,ACTR,2023-01-13,2023-01-27,20240.73,AUD,2024-12-31,DTP,SG
LE001,SP001,C100802,899050168462,CCBC,IMPORT LOANS,EXPORT,ACTR,2025-09-07,2025-09-10,184670.77,JPY,2024-12-31,DTP,SG
LE001,SP001,C100436,541725783739,CCBC,COLLECTIONS,EXPORT,ACTR,2025-06-12,2025-08-08,140981.17,SGD,2024-12-31,DTP,SG
LE001,SP001,C100151,767103390612,AAC001,EXPORT BILLS,EXPORT,BR,2024-01-14,2024-02-07,133331.18,AUD,2024-12-31,DTP,SG
LE001,SP001,C100464,424401271462,GOOD,IMPORT LOANS,EXPORT,CBC,2025-03-20,2025-05-13,149602.62,HKD,2024-12-31,DTP,SG
LE001,SP001,C100738,708893058523,MSC003-0,GUARANTEES,EXPORT,L/C,2023-07-16,2023-08-06,43650.51,JPY,2024-12-31,DTP,SG
LE001,SP001,C100747,556979066473,PAY001,EXPORT LOANS,EXPORT,IML,2024-06-05,2024-06-28,130444.67,USD,2024-12-31,DTP,SG
LE001,SP001,C100093,175051409106,AAC001,COLLECTIONS,EXPORT,CBC,2023-10-08,2023-11-28,140320.86,USD,2024-12-31,DTP,SG
LE001,SP001,C100600,166814103555,UTIL,IMPORT LOANS,EXPORT,CBC,2023-07-22,2023-08-13,41888.99,HKD,2024-12-31,DTP,SG
LE001,SP001,C100433,928675842819,LATR,COLLECTIONS,EXPORT,BR,2024-02-09,2024-03-02,926277.75,SGD,2024-12-31,DTP,SG
LE001,SP001,C100217,656532922316,MSC001-0,LETTER OF CREDIT,EXPORT,L/C,2025-04-02,2025-04-24,174311.55,AUD,2024-12-31,DTP,SG
LE001,SP001,C100780,226132714276,AMD002,IMPORT LOANS,IMPORT,BID,2025-09-17,2025-10-25,23633.86,HKD,2024-12-31,DTP,SG
LE001,SP001,C100273,863771718361,ISS000,EXPORT BILLS,EXPORT,CCBC,2023-12-15,2024-01-06,217045.94,SGD,2024-12-31,DTP,SG
LE001,SP001,C100673,719090551088,POLC,COLLECTIONS,IMPORT,PERF,2025-05-06,2025-06-22,30649.82,AUD,2024-12-31,DTP,SG
LE001,SP001,C100429,513240849105,BID,EXPORT LOANS,IMPORT,POLC,2024-02-10,2024-03-27,253850.69,EUR,2024-12-31,DTP,SG
LE001,SP001,C100086,755272824750,ACP001,EXPORT BILLS,IMPORT,BR,2025-07-31,2025-09-12,396453.76,SGD,2024-12-31,DTP,SG
LE001,SP001,C100677,586499977257,OB,GUARANTEES,EXPORT,BID,2024-04-29,2024-05-12,36871.02,AUD,2024-12-31,DTP,SG
LE001,SP001,C100440,478445964518,PAY001,EXPORT LOANS,EXPORT,UTIL,2024-02-17,2024-02-19,313655.76,USD,2024-12-31,DTP,SG
LE001,SP001,C100007,162703623248,MSC003-0,EXPORT LOANS,IMPORT,IBC,2024-06-04,2024-06-22,161997.65,EUR,2024-12-31,DTP,SG
LE001,SP001,C100509,104810296150,LATR,GUARANTEES,IMPORT,IBC,2023-09-23,2023-10-27,264731.71,HKD,2024-12-31,DTP,SG
LE001,SP001,C100572,650744131878,CCBC,EXPORT LOANS,IMPORT,OB,2025-08-15,2025-09-11,961405.52,SGD,2024-12-31,DTP,SG
LE001,SP001,C100439,732704777670,LIBW,GUARANTEES,EXPORT,CCBC,2025-03-19,2025-04-13,73536.29,SGD,2024-12-31,DTP,SG
LE001,SP001,C100175,460632081634,SHIP,GUARANTEES,EXPORT,ACLC,2023-05-30,2023-07-23,39955.3,SGD,2024-12-31,DTP,SG
LE001,SP001,C100603,577786406153,POLC,IMPORT LOANS,IMPORT,OB,2024-02-13,2024-03-31,33947.91,EUR,2024-12-31,DTP,SG
LE001,SP001,C100797,466023864910,MSC005-0,COLLECTIONS,IMPORT,UTIL,2022-12-31,2023-01-12,37087.22,EUR,2024-12-31,DTP,SG
LE001,SP001,C100981,900371878921,BR,EXPORT BILLS,IMPORT,CBC,2025-01-14,2025-01-30,89992.17,USD,2024-12-31,DTP,SG
LE001,SP001,C100156,762170136218,EBC,LETTER OF CREDIT,IMPORT,CBN,2023-02-02,2023-03-03,148654.84,AUD,2024-12-31,DTP,SG
LE001,SP001,C100459,738918807302,CCBC,IMPORT LOANS,EXPORT,IML,2025-01-04,2025-02-01,137589.37,SGD,2024-12-31,DTP,SG
LE001,SP001,C100646,587345305175,AMD002-0,EXPORT LOANS,IMPORT,POLC,2023-01-05,2023-01-09,266364.22,EUR,2024-12-31,DTP,SG
