le_id,sub_prof_id,client_id,deal_id,deal_rec_id,product,purpose_code,trade_date,value_date,amount,currency,mth_end,src,cty
LE001,SP001,C100029,KO64T026RJ,KO64T026RJ-73654,PRESHIPMENT FINANCE EXPORT ORDERS,RRMB,2023-08-04,2023-09-19,552790.2,USD,2024-12-31,OTP,SG
LE001,SP001,C100051,479T6VXDP5,479T6VXDP5-33819,TRADE PAYABLE MANAGEMENT,PSHP,2024-01-09,2024-01-22,58912.19,JPY,2024-12-31,OTP,SG
LE001,SP001,C100229,L1N13JCAT9,L1N13JCAT9-55870,INVOICE FINANCING BUYER,LRRP,2025-09-07,2025-11-06,16827.12,USD,2024-12-31,OTP,SG
LE001,SP001,C100986,HAFEYUHZ1G,HAFEYUHZ1G-89593,INVOICE FINANCING SUPPLIER,VPRP,2024-02-11,2024-02-17,160661.33,AUD,2024-12-31,OTP,SG
LE001,SP001,C100870,ALY8OZCYWD,ALY8OZCYWD-49529,INVOICE FINANCING SUPPLIER,LRRP,2023-11-29,2024-01-02,13835.43,JPY,2024-12-31,OTP,SG
LE001,SP001,C100445,XCXAPRPN6Q,XCXAPRPN6Q-30052,VENDOR PREPAY,TPMP,2023-02-23,2023-03-24,76928.86,JPY,2024-12-31,OTP,SG
LE001,SP001,C100029,3VLI7KQ1UY,3VLI7KQ1UY-54092,FI POST SHIP EXP FIN - LC AND COLL,RRMB,2024-11-02,2024-12-03,5700.99,USD,2024-12-31,OTP,SG
LE001,SP001,C100776,MJKV5USGIO,MJKV5USGIO-82768,PRE EXPORT FINANCING FOR FIS,PFEB,2023-02-08,2023-03-08,12163.28,SGD,2024-12-31,OTP,SG
LE001,SP001,C100277,DHYLURTP0L,DHYLURTP0L-69473,BILL DISCOUNTING AGAINST BUYER RISK,TPMP,2024-07-25,2024-08-01,75828.8,HKD,2024-12-31,OTP,SG
LE001,SP001,C100102,GET1GHR09S,GET1GHR09S-47093,FINANCE AGAINST WAREHOUSE RECEIPT,BDBR,2024-08-01,2024-08-24,145242.48,USD,2024-12-31,OTP,SG
LE001,SP001,C100587,KZEBBK7W1D,KZEBBK7W1D-11607,BILL DISCOUNTING AGAINST BUYER RISK,PFEB,2023-03-05,2023-04-02,73544.21,EUR,2024-12-31,OTP,SG
LE001,SP001,C100971,GB7R3OCWBF,GB7R3OCWBF-83772,BILL DISCOUNTING AGAINST BUYER RISK,IFNB,2024-06-19,2024-06-26,52115.73,AUD,2024-12-31,OTP,SG
LE001,SP001,C100061,1V2ISQP49K,1V2ISQP49K-91399,INVOICE FINANCING SUPPLIER,FAWR,2024-09-03,2024-09-19,41717.48,HKD,2024-12-31,OTP,SG
LE001,SP001,C100072,CITFOYQBKK,CITFOYQBKK-69510,PRE EXPORT FINANCING FOR FIS,TPMP,2024-09-30,2024-10-27,10155.53,SGD,2024-12-31,OTP,SG
LE001,SP001,C100479,TX63CFL0UK,TX63CFL0UK-26299,BILL DISCOUNTING AGAINST BUYER RISK,PSHP,2024-05-01,2024-06-02,25240.04,AUD,2024-12-31,OTP,SG
LE001,SP001,C100783,RCBPLJD84U,RCBPLJD84U-12719,TRADE PAYABLE MANAGEMENT,LRRP,2024-11-16,2024-12-16,34448.94,AUD,2024-12-31,OTP,SG
LE001,SP001,C100337,X6GVWRDMLY,X6GVWRDMLY-31079,PORTFOLIO RECEIVABLE SERVICES,PFEB,2024-03-29,2024-05-10,212893.36,JPY,2024-12-31,OTP,SG
LE001,SP001,C100473,3TQLL8OS9X,3TQLL8OS9X-81118,PORTFOLIO RECEIVABLE SERVICES,LRRP,2024-10-21,2024-11-23,90430.96,EUR,2024-12-31,OTP,SG
LE001,SP001,C100623,WRPBJEK5RB,WRPBJEK5RB-92578,PRE EXPORT FINANCING FOR FIS,VPRP,2024-02-12,2024-03-18,7218.13,SGD,2024-12-31,OTP,SG
LE001,SP001,C100425,TD96QE3RZS,TD96QE3RZS-45838,FI POST SHIP EXP FIN - LC AND COLL,PFEB,2024-06-28,2024-07-27,88335.8,AUD,2024-12-31,OTP,SG
LE001,SP001,C100840,FGV0EC14M2,FGV0EC14M2-45018,RECEIVABLE SERVICES,BDBR,2024-03-08,2024-04-30,37718.32,AUD,2024-12-31,OTP,SG
LE001,SP001,C100585,UX5QRL1N75,UX5QRL1N75-41300,PRESHIPMENT FINANCE EXPORT ORDERS,PSFI,2023-07-22,2023-07-24,26574.13,EUR,2024-12-31,OTP,SG
LE001,SP001,C100339,0Z3NX39RBS,0Z3NX39RBS-87356,INVOICE FINANCING SUPPLIER,RILC,2025-04-19,2025-05-22,124743.08,JPY,2024-12-31,OTP,SG
LE001,SP001,C100872,AF58C2JWOC,AF58C2JWOC-53065,PRESHIPMENT FINANCE EXPORT ORDERS,RRMB,2023-02-14,2023-04-10,206323.26,AUD,2024-12-31,OTP,SG
LE001,SP001,C100170,BCW790PDW5,BCW790PDW5-68153,BILL DISCOUNTING AGAINST BUYER RISK,RSRV,2025-08-07,2025-08-27,183053.94,SGD,2024-12-31,OTP,SG
LE001,SP001,C100509,KNFTU2GC5W,KNFTU2GC5W-41566,TRADE RECEIVABLES DISCOUNTING,PSFI,2023-04-10,2023-05-20,21871.48,EUR,2024-12-31,OTP,SG
LE001,SP001,C100706,QY6QKTC89K,QY6QKTC89K-65615,TRADE PAYABLE MANAGEMENT,RILC,2024-03-01,2024-03-13,41313.52,JPY,2024-12-31,OTP,SG
LE001,SP001,C100796,4DNMKZA3OA,4DNMKZA3OA-99889,LIMITED RECOURSE RECV PURCHASE,PFEB,2024-04-02,2024-05-21,89100.13,USD,2024-12-31,OTP,SG
LE001,SP001,C100040,VMWWYZX4W6,VMWWYZX4W6-94717,BILL DISCOUNTING AGAINST BUYER RISK,RILC,2025-09-02,2025-10-09,193040.28,EUR,2024-12-31,OTP,SG
LE001,SP001,C100263,0DK0GET8T6,0DK0GET8T6-31567,FI POST SHIP EXP FIN - LC AND COLL,BDBR,2023-12-17,2024-02-06,33691.16,SGD,2024-12-31,OTP,SG
LE001,SP001,C100014,QC1IYYO4UD,QC1IYYO4UD-61717,TRADE PAYABLE MANAGEMENT,IFNS,2023-04-23,2023-05-16,47916.21,HKD,2024-12-31,OTP,SG
LE001,SP001,C100226,0JNWNYQW7L,0JNWNYQW7L-89964,INVOICE FINANCING BUYER,RILC,2024-03-01,2024-04-11,15873.37,JPY,2024-12-31,OTP,SG
LE001,SP001,C100429,EBB9EITNN8,EBB9EITNN8-80804,TRADE RECEIVABLES DISCOUNTING,PFAC,2025-04-21,2025-06-13,14250.57,JPY,2024-12-31,OTP,SG
LE001,SP001,C100367,W7KYHQIN9N,W7KYHQIN9N-94518,LIMITED RECOURSE RECV PURCHASE,PSHP,2024-04-23,2024-05-05,158741.28,SGD,2024-12-31,OTP,SG
LE001,SP001,C100070,83DHX8BM92,83DHX8BM92-36896,FINANCE AGAINST WAREHOUSE RECEIPT,FAWR,2024-07-20,2024-08-10,304823.45,USD,2024-12-31,OTP,SG
LE001,SP001,C100808,2VJ99T2D5E,2VJ99T2D5E-56955,PRE EXPORT FINANCING FOR FIS,RRMB,2025-10-08,2025-10-19,54917.53,EUR,2024-12-31,OTP,SG
LE001,SP001,C100744,B0S0R2SDS8,B0S0R2SDS8-15683,BILL DISCOUNTING AGAINST BUYER RISK,RILC,2025-09-07,2025-09-10,199633.7,JPY,2024-12-31,OTP,SG
LE001,SP001,C100561,4PDZP6LFEW,4PDZP6LFEW-86724,REFINANCING UNDER REIMBURSEMENT,PSHP,2022-11-19,2022-12-07,92407.48,JPY,2024-12-31,OTP,SG
LE001,SP001,C100347,SP2EX5T5P5,SP2EX5T5P5-64239,IMPORT L/C REFINANCING,PSHP,2023-07-12,2023-08-27,27607.87,SGD,2024-12-31,OTP,SG
LE001,SP001,C100831,LLJ8YRDDP0,LLJ8YRDDP0-58843,TRADE RECEIVABLES DISCOUNTING,LRRP,2024-01-04,2024-02-15,92380.83,SGD,2024-12-31,OTP,SG
LE001,SP001,C100672,O57P6BKLDS,O57P6BKLDS-30280,FI POST SHIP EXP FIN - LC AND COLL,PSFI,2025-04-02,2025-04-24,379133.58,AUD,2024-12-31,OTP,SG
LE001,SP001,C100849,N1U3493WXA,N1U3493WXA-96223,TRADE PAYABLE MANAGEMENT,RSRV,2024-11-05,2024-11-22,57354.62,HKD,2024-12-31,OTP,SG
LE001,SP001,C100220,17MGFXC08D,17MGFXC08D-79531,PRESHIPMENT FINANCE EXPORT ORDERS,PFAC,2023-04-25,2023-05-16,391434.07,USD,2024-12-31,OTP,SG
LE001,SP001,C100434,NZ1UDBFWYJ,NZ1UDBFWYJ-96761,FI POST SHIP EXP FIN - LC AND COLL,RILC,2023-07-15,2023-08-01,2581.96,USD,2024-12-31,OTP,SG
LE001,SP001,C100209,1EPKYRYBOV,1EPKYRYBOV-11007,BILL DISCOUNTING AGAINST BUYER RISK,FAWR,2025-02-01,2025-03-21,160537.53,EUR,2024-12-31,OTP,SG
LE001,SP001,C100882,KERPETIUYM,KERPETIUYM-62044,LIMITED RECOURSE RECV PURCHASE,PFAC,2025-10-02,2025-10-31,66466.71,SGD,2024-12-31,OTP,SG
LE001,SP001,C100090,5UUZPEAL2W,5UUZPEAL2W-57428,PORTFOLIO RECEIVABLE SERVICES,IFNS,2024-06-29,2024-07-26,41822.56,AUD,2024-12-31,OTP,SG
LE001,SP001,C100359,OC50H2CWTG,OC50H2CWTG-55793,TRADE RECEIVABLES DISCOUNTING,PSFI,2025-04-13,2025-04-22,66843.74,EUR,2024-12-31,OTP,SG
LE001,SP001,C100658,HV1XG1R11Q,HV1XG1R11Q-83989,REFINANCING UNDER REIMBURSEMENT,RRMB,2025-01-04,2025-02-01,5513.29,SGD,2024-12-31,OTP,SG
LE001,SP001,C100884,QW2VMCQBNK,QW2VMCQBNK-94497,INVOICE FINANCING BUYER,PSHP,2023-04-07,2023-05-14,45999.86,AUD,2024-12-31,OTP,SG
LE001,SP001,C100731,80B6UGVS8Q,80B6UGVS8Q-55015,INVOICE FINANCING BUYER,VPRP,2025-08-21,2025-09-05,91907.24,HKD,2024-12-31,OTP,SG
LE001,SP001,C100342,PPSFNKOMV2,PPSFNKOMV2-94843,INVOICE FINANCING BUYER,RRMB,2025-04-30,2025-06-04,352735.18,HKD,2024-12-31,OTP,SG
LE001,SP001,C100715,NJ48VFCX7L,NJ48VFCX7L-95990,PRESHIPMENT FINANCE EXPORT ORDERS,TRDS,2025-05-20,2025-06-08,32147.04,AUD,2024-12-31,OTP,SG
LE001,SP001,C100018,N23Y30YSXP,N23Y30YSXP-57425,POST ACCEPTANCE DISCOUNTING,BDBR,2024-11-05,2025-01-04,22692.91,USD,2024-12-31,OTP,SG
LE001,SP001,C100038,M1G9FK2ST0,M1G9FK2ST0-79013,REFINANCING UNDER REIMBURSEMENT,TRDS,2023-09-30,2023-10-09,32790.42,USD,2024-12-31,OTP,SG
LE001,SP001,C100239,GYW6ZBNZ8V,GYW6ZBNZ8V-68841,PRE EXPORT FINANCING FOR FIS,BDBR,2023-03-25,2023-05-21,179599.12,USD,2024-12-31,OTP,SG
LE001,SP001,C100893,N89QKNS832,N89QKNS832-28140,TRADE PAYABLE MANAGEMENT,LRRP,2023-03-01,2023-04-25,88831.92,EUR,2024-12-31,OTP,SG
LE001,SP001,C100836,TD44K1J6FP,TD44K1J6FP-39102,IMPORT L/C REFINANCING,PADS,2025-09-16,2025-10-12,31706.84,SGD,2024-12-31,OTP,SG
LE001,SP001,C100293,ONNCILDZMF,ONNCILDZMF-15020,FI POST SHIP EXP FIN - LC AND COLL,TRDS,2023-03-25,2023-04-22,110848.64,AUD,2024-12-31,OTP,SG
LE001,SP001,C100244,ACJ4T0SEKK,ACJ4T0SEKK-16258,PORTFOLIO RECEIVABLE SERVICES,RILC,2025-07-04,2025-07-11,67271.57,JPY,2024-12-31,OTP,SG
LE001,SP001,C100536,VASIFPWIOX,VASIFPWIOX-21221,POST ACCEPTANCE DISCOUNTING,IFNB,2022-11-28,2023-01-01,191448.47,AUD,2024-12-31,OTP,SG
LE001,SP001,C100750,2SA5BNN0MC,2SA5BNN0MC-41604,INVOICE FINANCING SUPPLIER,RRMB,2025-02-09,2025-02-11,25784.69,EUR,2024-12-31,OTP,SG
LE001,SP001,C100037,T3G2QZW3C1,T3G2QZW3C1-69988,BILL DISCOUNTING AGAINST BUYER RISK,FAWR,2025-08-12,2025-10-01,40408.9,USD,2024-12-31,OTP,SG
LE001,SP001,C100886,5LLO3RBXK5,5LLO3RBXK5-16265,REFINANCING UNDER REIMBURSEMENT,TPMP,2025-02-28,2025-04-20,37401.65,EUR,2024-12-31,OTP,SG
LE001,SP001,C100744,POP8MGYN2J,POP8MGYN2J-20828,PORTFOLIO RECEIVABLE SERVICES,IFNB,2023-06-12,2023-07-20,10340.07,USD,2024-12-31,OTP,SG
LE001,SP001,C100629,TLCXLVPYMB,TLCXLVPYMB-56210,PORTFOLIO RECEIVABLE SERVICES,TPMP,2025-07-15,2025-07-19,85420.75,HKD,2024-12-31,OTP,SG
LE001,SP001,C100375,WN2Y8FV2BC,WN2Y8FV2BC-94562,POST ACCEPTANCE DISCOUNTING,PSHP,2025-09-04,2025-10-12,81900.99,USD,2024-12-31,OTP,SG
LE001,SP001,C100511,Y8N1UTOXIE,Y8N1UTOXIE-34385,PRESHIPMENT FINANCE EXPORT ORDERS,IFNS,2024-05-22,2024-07-10,60242.67,EUR,2024-12-31,OTP,SG
LE001,SP001,C100829,ZHWY9HECGZ,ZHWY9HECGZ-21506,REFINANCING UNDER REIMBURSEMENT,PADS,2025-06-30,2025-08-04,45183.87,AUD,2024-12-31,OTP,SG
LE001,SP001,C100809,KKFZZGNI92,KKFZZGNI92-41029,FI POST SHIP EXP FIN - LC AND COLL,RSRV,2023-11-01,2023-12-06,10955.04,AUD,2024-12-31,OTP,SG
LE001,SP001,C100075,N2TWDL9ZS1,N2TWDL9ZS1-85353,TRADE RECEIVABLES DISCOUNTING,RRMB,2025-06-11,2025-07-09,36142.53,JPY,2024-12-31,OTP,SG
LE001,SP001,C100530,YM52XG8P6B,YM52XG8P6B-26274,TRADE RECEIVABLES DISCOUNTING,BDBR,2024-12-07,2024-12-17,39685.56,EUR,2024-12-31,OTP,SG
LE001,SP001,C100546,7I8SKCH8JW,7I8SKCH8JW-90534,INVOICE FINANCING BUYER,VPRP,2024-12-29,2025-01-08,22862.82,HKD,2024-12-31,OTP,SG
LE001,SP001,C100785,W6M7B5C81J,W6M7B5C81J-37631,PORTFOLIO RECEIVABLE SERVICES,RSRV,2023-01-25,2023-03-22,49338.36,HKD,2024-12-31,OTP,SG
LE001,SP001,C100208,TXKI3OQYFO,TXKI3OQYFO-70875,REFINANCING UNDER REIMBURSEMENT,TRDS,2024-02-08,2024-04-03,97232.57,HKD,2024-12-31,OTP,SG
LE001,SP001,C100099,L9MO1SDIEQ,L9MO1SDIEQ-28465,LIMITED RECOURSE RECV PURCHASE,BDBR,2023-09-15,2023-11-09,575746.7,AUD,2024-12-31,OTP,SG
LE001,SP001,C100509,P8637ZGF9Q,P8637ZGF9Q-50441,RECEIVABLE SERVICES,IFNB,2023-08-27,2023-09-28,73828,JPY,2024-12-31,OTP,SG
LE001,SP001,C100137,8HMBR5XQT4,8HMBR5XQT4-66482,TRADE PAYABLE MANAGEMENT,PADS,2023-08-07,2023-08-30,81557.25,SGD,2024-12-31,OTP,SG
LE001,SP001,C100131,OUHTCS1K9Y,OUHTCS1K9Y-25572,INVOICE FINANCING SUPPLIER,PSHP,2023-10-07,2023-11-26,54757.24,EUR,2024-12-31,OTP,SG
LE001,SP001,C100620,UNFVOBBZ2S,UNFVOBBZ2S-29521,TRADE RECEIVABLES DISCOUNTING,RRMB,2024-01-27,2024-02-06,5987.77,JPY,2024-12-31,OTP,SG
LE001,SP001,C100112,90KM3TZK3N,90KM3TZK3N-98317,PORTFOLIO RECEIVABLE SERVICES,BDBR,2025-09-16,2025-10-24,57999.13,JPY,2024-12-31,OTP,SG
LE001,SP001,C100151,JX8UIBRSZ1,JX8UIBRSZ1-59832,PRE EXPORT FINANCING FOR FIS,LRRP,2025-03-29,2025-04-10,64361.84,SGD,2024-12-31,OTP,SG
LE001,SP001,C100212,PPOHSWQ40Z,PPOHSWQ40Z-77984,REFINANCING UNDER REIMBURSEMENT,PFEB,2022-11-29,2022-12-23,1150710.96,EUR,2024-12-31,OTP,SG
LE001,SP001,C100285,8QTTY5Y2JR,8QTTY5Y2JR-42311,BILL DISCOUNTING AGAINST BUYER RISK,PSFI,2024-03-10,2024-04-28,47532.4,EUR,2024-12-31,OTP,SG
LE001,SP001,C100838,ZYRRU7ZKUT,ZYRRU7ZKUT-61712,POST ACCEPTANCE DISCOUNTING,TRDS,2024-03-25,2024-03-27,85978.87,EUR,2024-12-31,OTP,SG
LE001,SP001,C100630,8C7X0H3JUJ,8C7X0H3JUJ-24316,PRE EXPORT FINANCING FOR FIS,PSFI,2025-07-29,2025-09-09,57431.37,AUD,2024-12-31,OTP,SG
LE001,SP001,C100957,IIDLRYE89F,IIDLRYE89F-95575,FI POST SHIP EXP FIN - LC AND COLL,PFEB,2024-09-27,2024-11-14,14729.19,EUR,2024-12-31,OTP,SG
LE001,SP001,C100956,LX6DUT076G,LX6DUT076G-33040,LIMITED RECOURSE RECV PURCHASE,PSHP,2023-01-30,2023-02-10,235952.87,HKD,2024-12-31,OTP,SG
LE001,SP001,C100910,875AUD9K9T,875AUD9K9T-74738,TRADE RECEIVABLES DISCOUNTING,RILC,2024-04-30,2024-05-12,147608.63,SGD,2024-12-31,OTP,SG
LE001,SP001,C100918,L0XZAMKYGV,L0XZAMKYGV-93719,PRESHIPMENT FINANCE EXPORT ORDERS,PFAC,2022-12-20,2023-01-09,154699.27,SGD,2024-12-31,OTP,SG
LE001,SP001,C100740,OD9R7ANQJL,OD9R7ANQJL-86344,RECEIVABLE SERVICES,TPMP,2023-11-04,2023-12-18,20105.23,USD,2024-12-31,OTP,SG
LE001,SP001,C100376,CELOS6ZLE6,CELOS6ZLE6-48671,PRE EXPORT FINANCING FOR FIS,PSFI,2025-02-09,2025-03-11,322337.1,USD,2024-12-31,OTP,SG
LE001,SP001,C100894,Q9NZ61231Y,Q9NZ61231Y-88094,INVOICE FINANCING BUYER,RILC,2022-11-24,2023-01-08,11134.22,EUR,2024-12-31,OTP,SG
LE001,SP001,C100734,CUCTSUFLSE,CUCTSUFLSE-36922,FI POST SHIP EXP FIN - LC AND COLL,IFNB,2022-12-30,2023-01-27,121082.63,SGD,2024-12-31,OTP,SG
LE001,SP001,C100074,QSQCQ30O30,QSQCQ30O30-85800,LIMITED RECOURSE RECV PURCHASE,PFAC,2023-12-05,2024-01-18,829473.76,SGD,2024-12-31,OTP,SG
LE001,SP001,C100383,TC69QKGEX0,TC69QKGEX0-65097,PRESHIPMENT FINANCE EXPORT ORDERS,RILC,2023-09-28,2023-10-22,18239.71,SGD,2024-12-31,OTP,SG
LE001,SP001,C100774,YXTXMGTT0I,YXTXMGTT0I-10455,RECEIVABLE SERVICES,BDBR,2023-04-06,2023-05-19,30346.69,HKD,2024-12-31,OTP,SG
LE001,SP001,C100629,TT3IMJ70E3,TT3IMJ70E3-64950,RECEIVABLE SERVICES,PSFI,2024-09-13,2024-09-17,67479.67,SGD,2024-12-31,OTP,SG
LE001,SP001,C100515,VQY5IBPT11,VQY5IBPT11-28367,BILL DISCOUNTING AGAINST BUYER RISK,PSFI,2024-01-26,2024-03-02,32722.86,AUD,2024-12-31,OTP,SG
LE001,SP001,C100641,13I59SOJUV,13I59SOJUV-32955,PORTFOLIO RECEIVABLE SERVICES,PFEB,2025-08-05,2025-08-27,9313.35,HKD,2024-12-31,OTP,SG
LE001,SP001,C100825,Y2LOFN1R4K,Y2LOFN1R4K-28920,IMPORT L/C REFINANCING,LRRP,2023-07-18,2023-08-13,65008.65,AUD,2024-12-31,OTP,SG
LE001,SP001,C100689,TNJLCQNT3B,TNJLCQNT3B-59436,LIMITED RECOURSE RECV PURCHASE,IFNB,2024-10-20,2024-12-10,16734.63,AUD,2024-12-31,OTP,SG
LE001,SP001,C100936,0UR5L8A78E,0UR5L8A78E-72773,PRE EXPORT FINANCING FOR FIS,FAWR,2023-08-20,2023-10-17,105694.79,USD,2024-12-31,OTP,SG
LE001,SP001,C100779,T1NTMJSRD9,T1NTMJSRD9-71537,REFINANCING UNDER REIMBURSEMENT,FAWR,2023-10-12,2023-11-01,19864.53,JPY,2024-12-31,OTP,SG
LE001,SP001,C100853,B50ATVZKHI,B50ATVZKHI-84683,PRE EXPORT FINANCING FOR FIS,PFEB,2023-12-19,2024-01-04,384585.45,JPY,2024-12-31,OTP,SG
LE001,SP001,C100980,8XRG2GZR7T,8XRG2GZR7T-94123,LIMITED RECOURSE RECV PURCHASE,LRRP,2025-06-10,2025-08-09,23390.75,HKD,2024-12-31,OTP,SG
LE001,SP001,C100934,BAEWCFHQCW,BAEWCFHQCW-90808,FI POST SHIP EXP FIN - LC AND COLL,PFEB,2025-10-08,2025-10-08,40681.4,AUD,2024-12-31,OTP,SG
LE001,SP001,C100940,TATJ9A3Y36,TATJ9A3Y36-24026,INVOICE FINANCING SUPPLIER,TRDS,2024-07-04,2024-07-16,158930.24,AUD,2024-12-31,OTP,SG
LE001,SP001,C100669,S3JONOU9IY,S3JONOU9IY-20566,LIMITED RECOURSE RECV PURCHASE,IFNB,2023-08-02,2023-08-26,13670.05,JPY,2024-12-31,OTP,SG
