le_id,sub_prof_id,checklist_id,collateral_id,client_id,facility_id,customer_type,checklist_status,security_type,security_sub_type,document_status,custody_status,market_value,haircut_pct,valuation_date,currency,valuation_source,pledge_status,location,owner_name,notes,customer_id,particulars_of_collateral,security_id,document_id,document_description,document_date,document_expiry_date,amount,property_address,property_memorial_type,remarks,mth_end,src,cty
LE001,SP001,800015,500015,C100440,F200666,MAIN_BORROWER,completed,INSURANCE,Insurance Bond,pending_update,ALLOW_PERM_UPLIFT,982380,0.27,28-12-2024,USD,Third Party Valuer,PLEDGED,HK,SPV Trustee,,,,,,,28-12-2024,28-12-2024,,,,,31-12-2024,CMS,SG
LE001,SP001,800016,500016,C100785,F201187,MAIN_BORROWER,obsolete,INSURANCE,Insurance Bond,pending_update,ALLOW_BULK_PERM_UPLIFT,118618,0.18,01-11-2025,GBP,Market Price,NOT_PLEDGED,US,Third Party Trustee,,,,,,,01-11-2025,01-11-2025,,,,,31-12-2024,CMS,SG
LE001,SP001,800017,500017,C100073,F200109,MAIN_BORROWER,new,ASSET BASED,Receivables,pending_update,PENDING_ALLOW_PERM_UPLIFT,219445,0.03,21-08-2025,EUR,Custody Statement,PARTIAL,UK,Sunrise Logistics Pte Ltd,,,,,,,21-08-2025,21-08-2025,,,,,31-12-2024,CMS,SG
LE001,SP001,800018,500018,C100021,F200030,MAIN_BORROWER,certification_allowed,COMMODITY,Agricultural Produce,pending_update,RECEIVED,307200,0.24,03-12-2023,EUR,Internal Valuation,NOT_PLEDGED,US,Custodian Bank,,,,,,,03-12-2023,03-12-2023,,,,,31-12-2024,CMS,SG
LE001,SP001,800019,500019,C100405,F200617,MAIN_BORROWER,new,MARKETABLE SECURITIES,Government Bonds,submitted_to_custodian,RECEIVED,327228,0.18,20-05-2025,USD,Third Party Valuer,NOT_PLEDGED,UK,SPV Trustee,,,,,,,20-05-2025,20-05-2025,,,,,31-12-2024,CMS,SG
LE001,SP001,800020,500020,C100241,F200359,MAIN_BORROWER,obsolete,COMMODITY,Oil,awaiting,ALLOW_BULK_PERM_UPLIFT,217824,0.11,02-03-2024,SGD,Market Price,PARTIAL,US,Custodian Bank,,,,,,,02-03-2024,02-03-2024,,,,,31-12-2024,CMS,SG
LE001,SP001,800021,500021,C100884,F201342,MAIN_BORROWER,obsolete,MARKETABLE SECURITIES,Government Bonds,pending_complete,AWAITING,103052,0.23,16-07-2024,GBP,Market Price,PLEDGED,UK,Cedar Technologies Pte Ltd,,,,,,,16-07-2024,16-07-2024,,,,,31-12-2024,CMS,SG
LE001,SP001,800022,500022,C100472,F200714,MAIN_BORROWER,obsolete,ASSET BASED,Inventory,awaiting,PENDING_ALLOW_TEMP_UPLIFT,203905,0.2,19-01-2025,USD,Custody Statement,PARTIAL,US,Cedar Technologies Pte Ltd,,,,,,,19-01-2025,19-01-2025,,,,,31-12-2024,CMS,SG
LE001,SP001,800023,500023,C100930,F201414,MAIN_BORROWER,certification_allowed,MARKETABLE SECURITIES,Mutual Funds,pending_complete,RECEIVED,573141,0.26,06-09-2025,GBP,Custody Statement,NOT_PLEDGED,SG,Third Party Trustee,,,,,,,06-09-2025,06-09-2025,,,,,31-12-2024,CMS,SG
LE001,SP001,800024,500024,C100449,F200684,MAIN_BORROWER,deferred,MARKETABLE SECURITIES,Corporate Bonds,submitted_to_custodian,ALLOW_PERM_UPLIFT,178918,0.46,08-10-2024,GBP,Internal Valuation,RELEASED,SG,SPV Trustee,,,,,,,08-10-2024,08-10-2024,,,,,31-12-2024,CMS,SG
LE001,SP001,800025,500025,C100571,F200865,MAIN_BORROWER,completed,INSURANCE,Insurance Bond,pending_complete,RECEIVED,625230,0.37,06-01-2024,INR,Custody Statement,NOT_PLEDGED,UK,SPV Trustee,,,,,,,06-01-2024,06-01-2024,,,,,31-12-2024,CMS,SG
LE001,SP001,800026,500026,C100132,F200198,MAIN_BORROWER,obsolete,INSURANCE,Insurance Bond,submitted_to_custodian,PENDING_ALLOW_TEMP_UPLIFT,302085,0.33,07-12-2024,SGD,Market Price,PLEDGED,AE,Custodian Bank,,,,,,,07-12-2024,07-12-2024,,,,,31-12-2024,CMS,SG
LE001,SP001,800027,500027,C100018,F200025,MAIN_BORROWER,completed,INSURANCE,Policy Assignment,completed,ALLOW_BULK_PERM_UPLIFT,53136,0.48,24-11-2024,GBP,Internal Valuation,NOT_PLEDGED,SG,SPV Trustee,,,,,,,24-11-2024,24-11-2024,,,,,31-12-2024,CMS,SG
LE001,SP001,800028,500028,C100519,F200778,MAIN_BORROWER,completed,MARKETABLE SECURITIES,Government Bonds,submitted_to_custodian,ALLOW_BULK_PERM_UPLIFT,101399,0.31,04-06-2025,SGD,Market Price,PARTIAL,SG,Custodian Bank,,,,,,,04-06-2025,04-06-2025,,,,,31-12-2024,CMS,SG
LE001,SP001,800029,500029,C100692,F201038,MAIN_BORROWER,new,PROPERTY,Industrial,completed,AWAITING,340995,0.38,06-08-2024,SGD,Custody Statement,PARTIAL,HK,SPV Trustee,,,,,,,06-08-2024,06-08-2024,,,,,31-12-2024,CMS,SG
LE001,SP001,800030,500030,C100472,F200714,MAIN_BORROWER,completed,OTHERS,Contracts,pending_complete,ALLOW_PERM_UPLIFT,148030,0.48,18-04-2025,INR,Internal Valuation,PARTIAL,UK,SIMANGGANG SAWMILL COMPANY LTD SINGAPORE Pte Ltd,,,,,,,18-04-2025,18-04-2025,,,,,31-12-2024,CMS,SG
LE001,SP001,800031,500031,C100291,F200438,MAIN_BORROWER,in_progress,COMMODITY,Oil,awaiting,ALLOW_TEMP_UPLIFT,70793,0.24,01-06-2024,SGD,Custody Statement,PARTIAL,UK,Sunrise Logistics Pte Ltd,,,,,,,01-06-2024,01-06-2024,,,,,31-12-2024,CMS,SG
LE001,SP001,800032,500032,C100054,F200079,MAIN_BORROWER,completed,SCB STRUCTURED DEPOSITS/NOTES,Structured Deposit Note B,awaiting,ALLOW_RELODGE,967645,0.13,17-08-2025,EUR,Third Party Valuer,PLEDGED,AE,SPV Trustee,,,,,,,17-08-2025,17-08-2025,,,,,31-12-2024,CMS,SG
LE001,SP001,800033,500033,C100140,F200211,MAIN_BORROWER,in_progress,INSURANCE,Insurance Bond,pending_update,ALLOW_PERM_UPLIFT,12307,0.35,19-06-2025,HKD,Third Party Valuer,PLEDGED,SG,SPV Trustee,,,,,,,19-06-2025,19-06-2025,,,,,31-12-2024,CMS,SG
LE001,SP001,800034,500034,C100855,F201296,MAIN_BORROWER,deferred,SCB STRUCTURED DEPOSITS/NOTES,Structured Deposit Note B,awaiting,ALLOW_PERM_UPLIFT,886109,0.07,17-01-2025,SGD,Internal Valuation,NOT_PLEDGED,US,Custodian Bank,,,,,,,17-01-2025,17-01-2025,,,,,31-12-2024,CMS,SG
LE001,SP001,800035,500035,C100113,F200168,MAIN_BORROWER,obsolete,SCB STRUCTURED DEPOSITS/NOTES,Structured Deposit Note A,completed,AWAITING,457991,0.32,30-03-2024,SGD,Third Party Valuer,PARTIAL,SG,SPV Trustee,,,,,,,30-03-2024,30-03-2024,,,,,31-12-2024,CMS,SG
LE001,SP001,800036,500036,C100584,F200886,MAIN_BORROWER,certification_allowed,COMMODITY,Agricultural Produce,received,PENDING_ALLOW_TEMP_UPLIFT,269053,0.34,21-05-2024,EUR,Internal Valuation,PLEDGED,US,Custodian Bank,,,,,,,21-05-2024,21-05-2024,,,,,31-12-2024,CMS,SG
LE001,SP001,800037,500037,C100650,F200976,MAIN_BORROWER,deferred,MARKETABLE SECURITIES,Corporate Bonds,completed,RECEIVED,412097,0.38,08-11-2024,USD,Market Price,RELEASED,HK,Apex Solutions Pte Ltd,,,,,,,08-11-2024,08-11-2024,,,,,31-12-2024,CMS,SG
LE001,SP001,800038,500038,C100559,F200846,MAIN_BORROWER,obsolete,COMMODITY,Agricultural Produce,completed,ALLOW_BULK_PERM_UPLIFT,604000,0.24,27-11-2023,GBP,Internal Valuation,PLEDGED,AE,Custodian Bank,,,,,,,27-11-2023,27-11-2023,,,,,31-12-2024,CMS,SG
LE001,SP001,800039,500039,C100300,F200451,MAIN_BORROWER,new,ASSET BASED,Inventory,pending_update,PENDING_ALLOW_TEMP_UPLIFT,113958,0.45,20-12-2024,EUR,Third Party Valuer,PARTIAL,UK,SIMANGGANG SAWMILL COMPANY LTD SINGAPORE,,,,,,,20-12-2024,20-12-2024,,,,,31-12-2024,CMS,SG
LE001,SP001,800040,500040,C100292,F200441,MAIN_BORROWER,in_progress,ASSET BASED,Plant & Machinery,pending_update,PENDING_ALLOW_BULK_PERM_UPLIFT,175887,0.18,04-07-2025,EUR,Custody Statement,PARTIAL,UK,Third Party Trustee,,,,,,,04-07-2025,04-07-2025,,,,,31-12-2024,CMS,SG
LE001,SP001,800041,500041,C100708,F201067,MAIN_BORROWER,in_progress,MARKETABLE SECURITIES,Corporate Bonds,received,ALLOW_BULK_PERM_UPLIFT,37166,0.4,31-08-2024,USD,Internal Valuation,RELEASED,UK,Pioneer Energy Pte Ltd,,,,,,,31-08-2024,31-08-2024,,,,,31-12-2024,CMS,SG
LE001,SP001,800042,500042,C100335,F200512,MAIN_BORROWER,obsolete,INSURANCE,Insurance Bond,pending_update,ALLOW_RELODGE,221588,0.31,29-08-2024,SGD,Custody Statement,PARTIAL,SG,SPV Trustee,,,,,,,29-08-2024,29-08-2024,,,,,31-12-2024,CMS,SG
LE001,SP001,800043,500043,C100281,F200424,MAIN_BORROWER,certification_allowed,CASH,Cash Deposit,completed,PENDING_ALLOW_BULK_PERM_UPLIFT,116160,0.19,14-12-2023,SGD,Third Party Valuer,PLEDGED,HK,Nova Retail Pte Ltd,,,,,,,14-12-2023,14-12-2023,,,,,31-12-2024,CMS,SG
LE001,SP001,800044,500044,C100797,F201209,MAIN_BORROWER,new,MARKETABLE SECURITIES,Corporate Bonds,completed,PENDING_ALLOW_BULK_PERM_UPLIFT,248802,0.2,07-04-2024,USD,Internal Valuation,RELEASED,UK,Custodian Bank,,,,,,,07-04-2024,07-04-2024,,,,,31-12-2024,CMS,SG
LE001,SP001,800045,500045,C100587,F200889,MAIN_BORROWER,completed,SCB STRUCTURED DEPOSITS/NOTES,Structured Deposit Note B,awaiting,ALLOW_PERM_UPLIFT,23206,0.21,13-01-2024,EUR,Internal Valuation,NOT_PLEDGED,US,Custodian Bank,,,,,,,13-01-2024,13-01-2024,,,,,31-12-2024,CMS,SG
LE001,SP001,800046,500046,C100268,F200405,MAIN_BORROWER,in_progress,PROPERTY,Commercial,completed,RECEIVED,1068538,0.5,20-01-2025,HKD,Third Party Valuer,NOT_PLEDGED,SG,Custodian Bank,,,,,,,20-01-2025,20-01-2025,,,,,31-12-2024,CMS,SG
LE001,SP001,800047,500047,C100920,F201398,MAIN_BORROWER,new,CASH,Cash Deposit,received,AWAITING,272652,0.34,13-11-2023,USD,Market Price,RELEASED,HK,Third Party Trustee,,,,,,,13-11-2023,13-11-2023,,,,,31-12-2024,CMS,SG
LE001,SP001,800048,500048,C100520,F200779,MAIN_BORROWER,certification_allowed,CASH,Cash Collateral,pending_complete,PENDING_ALLOW_TEMP_UPLIFT,494921,0.4,11-03-2025,GBP,Internal Valuation,RELEASED,US,Third Party Trustee,,,,,,,11-03-2025,11-03-2025,,,,,31-12-2024,CMS,SG
LE001,SP001,800049,500049,C100067,F200100,MAIN_BORROWER,certification_allowed,OTHERS,Contracts,completed,ALLOW_RELODGE,142132,0.27,15-09-2024,INR,Market Price,PLEDGED,US,Custodian Bank,,,,,,,15-09-2024,15-09-2024,,,,,31-12-2024,CMS,SG
LE001,SP001,800050,500050,C100131,F200197,MAIN_BORROWER,new,COMMODITY,Oil,completed,AWAITING,65162,0.26,13-09-2025,USD,Third Party Valuer,NOT_PLEDGED,HK,SPV Trustee,,,,,,,13-09-2025,13-09-2025,,,,,31-12-2024,CMS,SG
LE001,SP001,800051,500051,C100354,F200543,MAIN_BORROWER,deferred,INSURANCE,Policy Assignment,completed,AWAITING,617097,0.14,28-01-2024,INR,Third Party Valuer,PLEDGED,IN,Third Party Trustee,,,,,,,28-01-2024,28-01-2024,,,,,31-12-2024,CMS,SG
LE001,SP001,800052,500052,C100175,F200260,MAIN_BORROWER,deferred,ASSET BASED,Inventory,submitted_to_custodian,ALLOW_TEMP_UPLIFT,6913,0.06,22-01-2024,INR,Custody Statement,PARTIAL,IN,Lotus Capital Pte Ltd,,,,,,,22-01-2024,22-01-2024,,,,,31-12-2024,CMS,SG
LE001,SP001,800053,500053,C100910,F201379,MAIN_BORROWER,deferred,INSURANCE,Insurance Bond,pending_update,RECEIVED,25128,0.14,08-12-2023,GBP,Custody Statement,PLEDGED,HK,Custodian Bank,,,,,,,08-12-2023,08-12-2023,,,,,31-12-2024,CMS,SG
LE001,SP001,800054,500054,C100495,F200749,MAIN_BORROWER,deferred,GUARANTEES,Corporate Guarantee,submitted_to_custodian,ALLOW_RELODGE,269664,0.31,23-12-2024,HKD,Internal Valuation,PARTIAL,HK,SPV Trustee,,,,,,,23-12-2024,23-12-2024,,,,,31-12-2024,CMS,SG
LE001,SP001,800055,500055,C100326,F200495,MAIN_BORROWER,certification_allowed,PROPERTY,Residential,awaiting,AWAITING,413868,0.15,28-02-2025,SGD,Third Party Valuer,PARTIAL,IN,Custodian Bank,,,,,,,28-02-2025,28-02-2025,,,,,31-12-2024,CMS,SG
LE001,SP001,800056,500056,C100985,F201505,MAIN_BORROWER,new,MARKETABLE SECURITIES,Corporate Bonds,pending_update,PENDING_ALLOW_BULK_PERM_UPLIFT,64693,0.11,29-05-2025,GBP,Internal Valuation,RELEASED,US,Sunrise Logistics Pte Ltd,,,,,,,29-05-2025,29-05-2025,,,,,31-12-2024,CMS,SG
LE001,SP001,800057,500057,C100967,F201478,MAIN_BORROWER,deferred,SCB STRUCTURED DEPOSITS/NOTES,Structured Deposit Note B,awaiting,ALLOW_PERM_UPLIFT,181088,0.48,02-04-2025,INR,Market Price,RELEASED,US,Custodian Bank,,,,,,,02-04-2025,02-04-2025,,,,,31-12-2024,CMS,SG
LE001,SP001,800058,500058,C100549,F200828,MAIN_BORROWER,deferred,CASH,Cash Deposit,pending_update,ALLOW_RELODGE,441796,0.08,11-02-2025,HKD,Third Party Valuer,PLEDGED,US,Sunrise Logistics Pte Ltd,,,,,,,11-02-2025,11-02-2025,,,,,31-12-2024,CMS,SG
LE001,SP001,800059,500059,C100371,F200568,MAIN_BORROWER,new,CASH,Cash Deposit,submitted_to_custodian,RECEIVED,154608,0.26,24-04-2024,EUR,Market Price,NOT_PLEDGED,SG,Custodian Bank,,,,,,,24-04-2024,24-04-2024,,,,,31-12-2024,CMS,SG
LE001,SP001,800060,500060,C100813,F201229,MAIN_BORROWER,new,SCB STRUCTURED DEPOSITS/NOTES,Structured Deposit Note B,pending_update,PENDING_ALLOW_TEMP_UPLIFT,462857,0.38,19-04-2025,INR,Third Party Valuer,PLEDGED,SG,SIMANGGANG SAWMILL COMPANY LTD SINGAPORE,,,,,,,19-04-2025,19-04-2025,,,,,31-12-2024,CMS,SG
LE001,SP001,800061,500061,C100730,F201102,MAIN_BORROWER,deferred,PROPERTY,Land,received,ALLOW_RELODGE,159051,0.09,30-05-2024,SGD,Market Price,NOT_PLEDGED,US,SPV Trustee,,,,,,,30-05-2024,30-05-2024,,,,,31-12-2024,CMS,SG
LE001,SP001,800062,500062,C100519,F200778,MAIN_BORROWER,obsolete,INSURANCE,Insurance Bond,awaiting,PENDING_ALLOW_PERM_UPLIFT,527842,0.41,27-10-2024,EUR,Custody Statement,RELEASED,AE,Apex Solutions Pte Ltd,,,,,,,27-10-2024,27-10-2024,,,,,31-12-2024,CMS,SG
LE001,SP001,800063,500063,C100271,F200409,MAIN_BORROWER,obsolete,ASSET BASED,Plant & Machinery,received,PENDING_ALLOW_PERM_UPLIFT,230855,0.25,21-05-2024,HKD,Internal Valuation,NOT_PLEDGED,AE,Third Party Trustee,,,,,,,21-05-2024,21-05-2024,,,,,31-12-2024,CMS,SG
LE001,SP001,800064,500064,C100586,F200888,MAIN_BORROWER,in_progress,GUARANTEES,Bank Guarantee,submitted_to_custodian,ALLOW_TEMP_UPLIFT,1133830,0.23,06-09-2024,SGD,Internal Valuation,PARTIAL,IN,Custodian Bank,,,,,,,06-09-2024,06-09-2024,,,,,31-12-2024,CMS,SG
LE001,SP001,800065,500065,C100722,F201087,MAIN_BORROWER,new,SCB STRUCTURED DEPOSITS/NOTES,Structured Deposit Note A,pending_update,ALLOW_RELODGE,154545,0.29,31-12-2023,GBP,Market Price,NOT_PLEDGED,US,SPV Trustee,,,,,,,31-12-2023,31-12-2023,,,,,31-12-2024,CMS,SG
LE001,SP001,800066,500066,C100692,F201039,MAIN_BORROWER,deferred,PROPERTY,Commercial,completed,AWAITING,498582,0.48,27-01-2025,INR,Custody Statement,RELEASED,AE,Third Party Trustee,,,,,,,27-01-2025,27-01-2025,,,,,31-12-2024,CMS,SG
LE001,SP001,800067,500067,C100324,F200492,MAIN_BORROWER,new,MARKETABLE SECURITIES,Corporate Bonds,pending_update,PENDING_ALLOW_PERM_UPLIFT,48592,0.16,31-03-2024,HKD,Internal Valuation,RELEASED,HK,SPV Trustee,,,,,,,31-03-2024,31-03-2024,,,,,31-12-2024,CMS,SG
LE001,SP001,800068,500068,C100294,F200443,MAIN_BORROWER,completed,MARKETABLE SECURITIES,Mutual Funds,received,AWAITING,317739,0.33,06-07-2024,SGD,Third Party Valuer,RELEASED,HK,Merlion Holdings Pte Ltd,,,,,,,06-07-2024,06-07-2024,,,,,31-12-2024,CMS,SG
LE001,SP001,800069,500069,C100248,F200369,MAIN_BORROWER,in_progress,SCB STRUCTURED DEPOSITS/NOTES,Structured Deposit Note A,pending_complete,PENDING_ALLOW_BULK_PERM_UPLIFT,102981,0.33,16-09-2025,USD,Internal Valuation,PLEDGED,AE,Third Party Trustee,,,,,,,16-09-2025,16-09-2025,,,,,31-12-2024,CMS,SG
LE001,SP001,800070,500070,C100987,F201510,MAIN_BORROWER,deferred,OTHERS,Contracts,pending_complete,ALLOW_PERM_UPLIFT,22018,0.25,18-04-2025,EUR,Internal Valuation,PLEDGED,AE,Third Party Trustee,,,,,,,18-04-2025,18-04-2025,,,,,31-12-2024,CMS,SG
LE001,SP001,800071,500071,C100935,F201420,MAIN_BORROWER,in_progress,OTHERS,Intellectual Property,completed,AWAITING,223221,0.47,02-10-2025,GBP,Internal Valuation,PLEDGED,SG,SPV Trustee,,,,,,,02-10-2025,02-10-2025,,,,,31-12-2024,CMS,SG
LE001,SP001,800072,500072,C100950,F201449,MAIN_BORROWER,in_progress,INSURANCE,Insurance Bond,completed,PENDING_ALLOW_TEMP_UPLIFT,88071,0.49,01-05-2024,INR,Internal Valuation,PARTIAL,UK,Third Party Trustee,,,,,,,01-05-2024,01-05-2024,,,,,31-12-2024,CMS,SG
LE001,SP001,800073,500073,C100338,F200516,MAIN_BORROWER,deferred,PROPERTY,Industrial,pending_complete,ALLOW_TEMP_UPLIFT,122155,0.36,25-10-2025,HKD,Custody Statement,NOT_PLEDGED,IN,Custodian Bank,,,,,,,25-10-2025,25-10-2025,,,,,31-12-2024,CMS,SG
LE001,SP001,800074,500074,C100527,F200794,MAIN_BORROWER,in_progress,CASH,Cash Deposit,pending_complete,ALLOW_TEMP_UPLIFT,659922,0.34,03-05-2025,SGD,Third Party Valuer,PLEDGED,UK,Custodian Bank,,,,,,,03-05-2025,03-05-2025,,,,,31-12-2024,CMS,SG
LE001,SP001,800075,500075,C100457,F200696,MAIN_BORROWER,deferred,MARKETABLE SECURITIES,Corporate Bonds,submitted_to_custodian,ALLOW_RELODGE,498190,0.3,01-04-2024,USD,Custody Statement,NOT_PLEDGED,SG,Harbour Shipping Pte Ltd,,,,,,,01-04-2024,01-04-2024,,,,,31-12-2024,CMS,SG
LE001,SP001,800076,500076,C100314,F200472,MAIN_BORROWER,deferred,OTHERS,Contracts,received,ALLOW_TEMP_UPLIFT,42190,0.35,24-01-2024,EUR,Third Party Valuer,NOT_PLEDGED,HK,Custodian Bank,,,,,,,24-01-2024,24-01-2024,,,,,31-12-2024,CMS,SG
LE001,SP001,800077,500077,C100465,F200705,MAIN_BORROWER,completed,OTHERS,Contracts,submitted_to_custodian,RECEIVED,81946,0.38,29-12-2023,SGD,Internal Valuation,PARTIAL,IN,SPV Trustee,,,,,,,29-12-2023,29-12-2023,,,,,31-12-2024,CMS,SG
LE001,SP001,800078,500078,C100939,F201429,MAIN_BORROWER,new,ASSET BASED,Plant & Machinery,completed,ALLOW_BULK_PERM_UPLIFT,77877,0.45,15-04-2025,INR,Internal Valuation,RELEASED,IN,Custodian Bank,,,,,,,15-04-2025,15-04-2025,,,,,31-12-2024,CMS,SG
LE001,SP001,800079,500079,C100696,F201047,MAIN_BORROWER,in_progress,PROPERTY,Residential,completed,PENDING_ALLOW_TEMP_UPLIFT,46786,0.45,09-08-2024,USD,Custody Statement,PARTIAL,US,Merlion Holdings Pte Ltd,,,,,,,09-08-2024,09-08-2024,,,,,31-12-2024,CMS,SG
LE001,SP001,800080,500080,C100688,F201032,MAIN_BORROWER,completed,ASSET BASED,Receivables,received,RECEIVED,111327,0.14,05-11-2025,HKD,Internal Valuation,PLEDGED,US,SPV Trustee,,,,,,,05-11-2025,05-11-2025,,,,,31-12-2024,CMS,SG
LE001,SP001,800081,500081,C100554,F200836,MAIN_BORROWER,completed,CASH,Cash Deposit,submitted_to_custodian,PENDING_ALLOW_PERM_UPLIFT,744320,0.04,16-09-2024,SGD,Custody Statement,RELEASED,US,Custodian Bank,,,,,,,16-09-2024,16-09-2024,,,,,31-12-2024,CMS,SG
LE001,SP001,800082,500082,C100384,F200586,MAIN_BORROWER,completed,SCB STRUCTURED DEPOSITS/NOTES,Structured Deposit Note A,received,PENDING_ALLOW_PERM_UPLIFT,238126,0.33,17-11-2024,USD,Internal Valuation,NOT_PLEDGED,AE,Third Party Trustee,,,,,,,17-11-2024,17-11-2024,,,,,31-12-2024,CMS,SG
LE001,SP001,800083,500083,C100774,F201170,MAIN_BORROWER,new,INSURANCE,Insurance Bond,pending_update,ALLOW_TEMP_UPLIFT,61611,0.34,30-04-2024,GBP,Third Party Valuer,NOT_PLEDGED,US,SPV Trustee,,,,,,,30-04-2024,30-04-2024,,,,,31-12-2024,CMS,SG
LE001,SP001,800084,500084,C100282,F200425,MAIN_BORROWER,certification_allowed,CASH,Cash Collateral,completed,ALLOW_TEMP_UPLIFT,123367,0.41,05-09-2024,INR,Custody Statement,PLEDGED,SG,Lotus Capital Pte Ltd,,,,,,,05-09-2024,05-09-2024,,,,,31-12-2024,CMS,SG
LE001,SP001,800085,500085,C100612,F200927,MAIN_BORROWER,completed,GUARANTEES,Bank Guarantee,awaiting,ALLOW_BULK_PERM_UPLIFT,327865,0.21,14-03-2025,INR,Market Price,RELEASED,HK,SPV Trustee,,,,,,,14-03-2025,14-03-2025,,,,,31-12-2024,CMS,SG
